note_id,char,pinyin,english,rank,hsk,is_surname,tier,recommendation,tags
1768474724405,一,yī,One,2,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724406,二,èr,Two,157,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724407,三,sān,Three,125,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724408,十,shí,Ten,112,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724409,干,gān,Dry / Do,353,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724410,半,bàn,Half,513,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724411,人,rén,Person,7,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724412,从,cóng,From / Follow,98,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724413,个,gè,Individual,12,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724414,入,rù,Enter,210,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724415,什,shén,What,156,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724416,午,wǔ,Noon,1004,1,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724417,年,nián,Year,45,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724418,口,kǒu,Mouth,212,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724419,中,zhōng,Middle,14,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724420,叫,jiào,Call / Shout,387,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724421,八,bā,Eight,451,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724422,只,zhǐ,Only / M.W.,97,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724423,介,jiè,Introduce / Between,831,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724424,儿,ér,Son / Child,192,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724425,四,sì,Four,226,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724426,兄,xiōng,Elder Brother,1089,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724427,兑,duì,Exchange,2424,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724428,说,shuō,Speak,24,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724429,计,jì,Calculate / Plan,251,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724430,认,rèn,Recognize,213,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724431,识,shí,Know,340,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724432,⻢,,Horse,Unranked,N/A,No,Tier 4: Rare / Surname (>3500 or Unranked),1 Card (Recognition Only),MBP-1
1768474724433,吗,ma,Question Particle,453,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724434,骂,mà,Scold,1449,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724435,乙,yǐ,Second / Bend,1872,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724436,乞,qǐ,Beg,2429,6,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724437,吃,chī,Eat,475,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724438,气,qì,Air / Gas,217,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724439,飞,"<span class=""tone1"">fēi</span> <!-- fei -->",Fly,347,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724440,况,kuàng,Situation,419,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724441,日,rì,Sun / Day,101,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724442,旧,jiù,Old / Past,915,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724443,旦,dàn,Dawn,1300,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724444,但,dàn,But,95,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724445,早,zǎo,Early,462,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724446,唱,chàng,Sing,1252,2,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-1
1768474724447,电,diàn,Electricity,230,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724448,七,qī,Seven,530,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724449,化,huà,Change / Melt,178,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-1
1768474724450,白,bái,White,286,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724451,百,bǎi,Hundred,407,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724452,今,jīn,Today / Now,336,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724453,千,qiān,Thousand,599,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724454,舌,shé,Tongue,1958,6,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-2
1768474724455,话,huà,Speech,170,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724456,活,huó,Live / Alive,219,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724457,乱,luàn,Chaos / Messy,765,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724458,汽,qì,Steam / Vapor,1200,2,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-2
1768474724459,月,yuè,Moon / Month,169,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724460,用,yòng,Use,51,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724461,胖,pàng,Fat,1893,3,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-2
1768474724462,朋,péng,Friend,882,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724463,明,míng,Bright,121,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724464,习,xí,Practice / Habit,676,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724465,句,jù,Sentence,707,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724466,勺,sháo,Spoon,3275,4,No,Tier 4: Rare / Surname (>3500 or Unranked),1 Card (Recognition Only),MBP-2
1768474724467,的,de,Of,1,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
1768474724468,了,le,Particle,5,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-2
